datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
287	-0.71228033	-0.40896088	6.8557373	142.58704	7.6028058	282.43176	0
288	-0.87021071	-1.3293788	7.3161865	79.985588	8.395835	306.49979	0
289	-0.54519349	-4.8810883	5.7430664	150.38049	6.1666069	275.98975	0
290	0.6945172	-3.829968	1.3746582	169.36568	3.8587673	250.91827	0
291	0.74877483	-2.95487	0.85509644	165.97575	3.6172315	250.75323	0
292	1.015412	-1.474002	2.4698425	161.74252	4.3573497	256.18097	0
293	1.1001517	-0.90774548	4.7666565	159.17618	4.8248368	261.34747	0
294	1.1547261	0.27062333	6.7374512	135.06213	5.0805905	273.21588	0
295	-1.1779923	-0.13716224	7.9743286	125.79932	6.3399291	292.56396	0
296	-5.7365208	0.70158023	10.215814	13.225451	11.160844	338.7222	1.3408389e-08
297	1.9236342	-1.0392221	11.945886	30.941971	13.47319	351.11127	5.1349067e-10
298	2.2767837	-3.7861483	7.4659668	112.75452	8.9277045	313.54532	8.5114145e-10
299	-0.18498288	-0.67080718	5.5756165	141.94702	7.6259758	271.42831	0
300	2.2432647	0.98518825	7.3425842	134.20697	8.1500461	292.9744	0
301	0.67910743	-1.3759311	7.2439514	66.931816	7.7845247	323.96249	0
302	-0.70115811	-3.1408975	6.0308167	137.1366	7.2783955	274.07352	0
303	-0.15355568	-0.8913129	5.7991577	137.09726	7.2859041	269.97821	0
304	-0.41183481	-1.1828892	6.2724243	108.31021	7.2604814	287.23962	0
305	-1.8756778	-0.954229	6.3942505	43.078148	7.652631	325.79745	0
306	-1.4631166	-0.61932671	7.4287354	48.855915	7.9565762	333.46017	0
307	1.0567174	-1.6737148	6.4650513	65.98938	6.7606649	322.673	0
308	3.5153704	-0.52408838	7.2384888	84.92466	7.8470747	301.95911	0
309	1.6264335	0.11234839	7.3265015	27.976841	7.9552386	318.89996	1.6009665e-09
310	2.5370729	-2.3086643	5.5228516	122.12263	7.1105713	277.64612	0
311	1.4505411	-2.7253401	2.2142578	119.54332	5.2729083	258.13104	0
312	-0.53653973	0.40196431	1.8915039	33.132534	5.9357914	307.17801	3.7762948e-09
313	-1.7802367	-6.1685824	0.86876831	46.588696	5.871302	311.27234	1.9744422e-09
314	0.3925752	-6.5779066	-1.1005615	119.3445	3.9609091	248.74942	0
315	2.4681587	-2.9746149	0.44210205	51.180229	5.2656999	296.87631	0
316	-0.17618392	-1.4151448	3.0112854	36.21067	5.7442785	318.58423	0
317	-2.1510186	1.4016145	4.8340698	30.781652	7.7748246	318.74927	1.5601772e-09
318	1.7447106	-2.5319486	4.4875122	91.777702	7.5506296	292.85367	5.0981536e-10
319	0.54445297	-2.93051	1.3634888	44.273449	4.5048526	311.3421	3.0352709e-10
320	0.90344632	1.4652696	0.57756958	70.066742	4.2291563	288.67239	0
321	3.3032365	-0.062533788	2.9690796	99.488708	6.0474972	271.35416	0
322	1.9242713	0.61034715	2.7970215	95.885628	6.4407628	264.24619	0
323	1.4684345	1.4044509	6.1892029	12.467939	8.7785536	320.37704	8.1678803e-09
