"","Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_Chla","Flag_Pheo","age","year"
"316","GWR",50,2015-09-17 12:00:00,12,11.5,4,0,0,NA,2015
"317","SHR",50,2015-05-08 12:00:00,0.1,0.6,-0.6,4,4,NA,2015
"318","SHR",50,2015-05-08 12:00:00,8,1.2,-1.2,0,4,NA,2015
"319","SHR",50,2015-05-08 12:00:00,28,1.2,-1.2,0,4,NA,2015
"320","SHR",50,2015-05-22 12:00:00,0.1,1.2,0.1,0,4,NA,2015
"321","SHR",50,2015-05-22 12:00:00,8,1.2,0.5,0,4,NA,2015
"322","SHR",50,2015-05-22 12:00:00,28,1.2,-1.2,0,4,NA,2015
"323","SHR",50,2015-05-29 12:00:00,0.1,1.2,0.1,0,4,NA,2015
"324","SHR",50,2015-05-29 12:00:00,8,2.3,-0.2,0,4,NA,2015
"325","SHR",50,2015-05-29 12:00:00,31,0.6,0.3,4,4,NA,2015
"326","SHR",50,2015-06-12 12:00:00,0.1,1.2,0.1,0,4,NA,2015
"327","SHR",50,2015-06-12 12:00:00,8,3.5,0.3,0,4,NA,2015
