datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
301	1.8374645	-0.87110186	1.7454773	126.32075	3.9948334	277.70828	0
302	1.2694201	-0.64696598	1.3706604	147.63773	4.2150293	259.34329	0
303	0.70210147	0.77144933	1.9521423	102.70776	4.8275745	273.55496	0
304	0.6162405	0.95033801	4.4568115	63.928741	7.1559029	299.55121	2.6100766e-10
305	1.5097525	1.0454042	12.040155	66.314362	12.710096	332.18283	7.9717665e-10
306	1.0782051	-1.4778109	8.3145996	113.81674	7.0289839	290.40915	0
307	-0.52469426	-0.47786328	2.4347473	106.90291	5.1412882	268.9848	5.0431705e-10
308	-1.123137	-1.1995434	4.8831726	24.699076	8.1973773	334.00882	6.417257e-09
309	-0.85339862	-0.66678107	5.0654541	33.563175	8.3580351	333.17072	3.0920531e-09
310	-0.57097864	-2.8415828	5.8161865	24.245722	8.7241978	337.30176	2.0199872e-08
311	2.551749	-0.3779301	0.76390991	98.835091	5.1656653	289.16922	5.7343296e-10
312	2.2775118	0.31778219	0.89318237	48.217651	4.5519387	302.39835	8.9451684e-11
313	1.5689034	0.22701825	0.83406982	75.999374	4.5439463	292.28253	0
314	0.23456809	1.575982	3.174707	105.23433	5.6739909	280.22614	0
315	0.18304896	1.9150761	6.6957947	59.747864	7.2820801	298.8894	0
316	0.9309634	0.81908768	5.3113953	82.740074	8.0124204	305.41525	1.2448372e-09
317	0.49443039	0.7877031	4.7934509	52.997463	7.5355711	306.12936	1.9599394e-09
318	1.459205	1.0896376	3.6804749	60.313438	6.14996	309.18903	2.9542722e-10
319	1.058919	1.7772532	2.7552124	68.598648	4.8475813	293.91928	1.4716475e-09
320	2.6322761	-0.17737122	-0.9350647	60.808533	3.528674	278.52365	0
321	0.99493939	-0.37643862	-3.5548767	108.74779	2.7455083	248.85994	0
